Year ,zip,naics,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000
2002,44113,334418,1,1,0,0,0,0,0,0,0,0
2002,44114,334419,1,0,0,0,0,1,0,0,0,0
2002,44115,334419,1,0,0,0,0,0,1,0,0,0
2002,44114,334510,1,0,1,0,0,0,0,0,0,0
2002,44114,334511,1,1,0,0,0,0,0,0,0,0
2002,44114,334512,1,0,0,0,1,0,0,0,0,0
2002,44113,335110,1,0,1,0,0,0,0,0,0,0
2002,44114,335121,2,0,1,0,0,0,1,0,0,0
2002,44114,335122,1,0,0,1,0,0,0,0,0,0
2002,44115,335122,1,0,0,1,0,0,0,0,0,0
2002,44114,335211,1,0,0,1,0,0,0,0,0,0
2002,44114,335929,1,0,0,1,0,0,0,0,0,0
2002,44114,336311,1,0,1,0,0,0,0,0,0,0
2002,44113,336312,1,1,0,0,0,0,0,0,0,0
2002,44115,336322,1,0,1,0,0,0,0,0,0,0
2002,44114,336350,1,0,0,0,1,0,0,0,0,0
2002,44113,337110,1,0,0,1,0,0,0,0,0,0
2002,44114,337110,3,3,0,0,0,0,0,0,0,0
2002,44114,337121,1,1,0,0,0,0,0,0,0,0
2002,44114,337122,1,1,0,0,0,0,0,0,0,0
2002,44114,337211,1,1,0,0,0,0,0,0,0,0
2002,44113,337212,2,0,1,0,1,0,0,0,0,0
2002,44113,337215,1,0,0,1,0,0,0,0,0,0
2002,44114,337215,1,0,0,0,1,0,0,0,0,0
2002,44113,339112,1,0,0,0,1,0,0,0,0,0
2002,44114,339112,1,0,1,0,0,0,0,0,0,0
2002,44113,339113,1,0,0,1,0,0,0,0,0,0
2002,44113,339116,1,0,1,0,0,0,0,0,0,0
2002,44115,339116,1,0,0,1,0,0,0,0,0,0
2002,44114,339911,2,2,0,0,0,0,0,0,0,0
2002,44115,339911,1,1,0,0,0,0,0,0,0,0
2002,44114,339914,1,1,0,0,0,0,0,0,0,0
2002,44114,339943,3,1,0,1,1,0,0,0,0,0
2002,44114,339944,1,0,0,0,0,1,0,0,0,0
2002,44113,339950,1,1,0,0,0,0,0,0,0,0
2002,44114,339950,1,0,0,0,1,0,0,0,0,0
2002,44114,339991,1,0,0,1,0,0,0,0,0,0
2002,44114,339992,2,0,0,1,1,0,0,0,0,0
2002,44114,339994,1,0,0,0,0,0,1,0,0,0
2002,44113,339995,1,0,0,1,0,0,0,0,0,0
2002,44113,339999,2,2,0,0,0,0,0,0,0,0
