Zip Code,City Name,City Type Zip,County,State,Lat,Lng,Zip Code Status,Zip Check
43213,Whitehall,postal_code,Franklin County,OH,39.9721714,-82.8694464,OK,43213
43214,Columbus,postal_code,Franklin County,OH,40.0480476,-83.025396,OK,43214
43215,Columbus,postal_code,Franklin County,OH,39.9602601,-83.0092803,OK,43215
43216,Columbus,postal_code,Franklin County,OH,39.9705786,-83.03210969999999,OK,43216
43217,Columbus,postal_code,Franklin County,OH,39.8124347,-82.9340217,OK,43217
43218,Columbus,postal_code,Franklin County,OH,40.0151339,-82.9246084,OK,43218
43219,Columbus,postal_code,Franklin County,OH,40.0415191,-82.9178838,OK,43219
43220,UPPER ARLNGTN,postal_code,Franklin County,OH,40.05062789999999,-83.0683519,OK,43220
43221,UPPER ARLNGTN,postal_code,Franklin County,OH,40.0097883,-83.0683519,OK,43221
43222,Columbus,postal_code,Franklin County,OH,39.9591613,-83.0334524,OK,43222
43223,Columbus,postal_code,Franklin County,OH,39.93153,-83.04150779999999,OK,43223
43224,Columbus,postal_code,Franklin County,OH,40.0441439,-82.9609096,OK,43224
43226,Columbus,postal_code,Franklin County,OH,40.0928335,-82.9934529,OK,43226
43227,Columbus,postal_code,Franklin County,OH,39.9428367,-82.8909785,OK,43227
43228,Columbus,postal_code,Franklin County,OH,39.9571056,-83.1273705,OK,43228
43229,Columbus,postal_code,Franklin County,OH,40.0862602,-82.98241209999999,OK,43229
43230,Gahanna,postal_code,Franklin County,OH,40.0388765,-82.8748301,OK,43230
43231,Columbus,postal_code,Franklin County,OH,40.078872,-82.9447782,OK,43231
43232,Columbus,postal_code,Franklin County,OH,39.9162835,-82.8748301,OK,43232
43234,Columbus,postal_code,Franklin County,OH,40.1,-83.06,OK,43234
43235,Columbus,postal_code,None,OH,40.1296424,-83.025396,OK,43235
43236,Columbus,postal_code,Franklin County,OH,39.9601945,-83.0000306,OK,43236
43240,Columbus,postal_code,Delaware County,OH,40.1420033,-82.97703709999999,OK,43240
43251,Columbus,postal_code,Franklin County,OH,39.9606899,-83.02170319999999,OK,43251
43260,Columbus,postal_code,Franklin County,OH,39.96,-83.0,OK,43260
43266,Columbus,postal_code,Franklin County,OH,39.96,-83.0,OK,43266
43268,Columbus,postal_code,Franklin County,OH,39.96,-83.0,OK,43268
43270,Columbus,postal_code,Franklin County,OH,39.96,-83.0,OK,43270
43271,Columbus,postal_code,Franklin County,OH,39.96,-83.0,OK,43271
43272,Columbus,postal_code,Franklin County,OH,39.96,-83.0,OK,43272
43279,Columbus,postal_code,Franklin County,OH,39.96,-83.0,OK,43279
43287,Columbus,postal_code,Franklin County,OH,39.96,-83.0,OK,43287
43291,Columbus,postal_code,Franklin County,OH,39.969724,-83.12468899999999,OK,43291
43301,Marion,postal_code,Marion County,OH,40.59,-83.13,OK,43301
43302,Marion,postal_code,None,OH,40.5518645,-83.12200740000002,OK,43302
43310,Belle Center,postal_code,None,OH,40.5286085,-83.7836403,OK,43310
43311,Bellefontaine,postal_code,Logan County,OH,40.363952,-83.7411631,OK,43311
43314,Caledonia,postal_code,None,OH,40.6344769,-82.98241209999999,OK,43314
43315,Cardington,postal_code,None,OH,40.4767797,-82.8855961,OK,43315
43316,Carey,postal_code,None,OH,40.95147610000001,-83.4003037,OK,43316
43317,Chesterville,postal_code,Morrow County,OH,40.479041,-82.6837827,OK,43317
43318,De Graff,postal_code,None,OH,40.3216216,-83.9003022,OK,43318
43319,East Liberty,postal_code,None,OH,40.3031943,-83.5603112,OK,43319
43320,Edison,postal_code,Morrow County,OH,40.588777,-82.89636039999999,OK,43320
43321,Fulton,postal_code,Morrow County,OH,40.4625582,-82.8297285,OK,43321
43322,Green Camp,postal_code,Marion County,OH,40.5328201,-83.2064255,OK,43322
43323,Harpster,postal_code,Wyandot County,OH,40.7306409,-83.2398943,OK,43323
43324,Huntsville,postal_code,Logan County,OH,40.4390408,-83.81547909999999,OK,43324
43325,Iberia,postal_code,Morrow County,OH,40.6642617,-82.8506002,OK,43325
43326,Kenton,postal_code,Hardin County,OH,40.66220149999999,-83.63484299999999,OK,43326
43330,Kirby,postal_code,Wyandot County,OH,40.8147883,-83.4196594,OK,43330
43331,Lakeview,postal_code,None,OH,40.5055315,-83.9214896,OK,43331
43332,La Rue,postal_code,None,OH,40.57761929999999,-83.38962219999999,OK,43332
43333,Lewistown,postal_code,Logan County,OH,40.44577460000001,-83.94266979999999,OK,43333
43334,Marengo,postal_code,None,OH,40.3903355,-82.79941939999999,OK,43334
43335,Martel,postal_code,Marion County,OH,40.6677494,-82.9096452,OK,43335
43336,Middleburg,postal_code,Logan County,OH,40.2923753,-83.5815318,OK,43336
43337,Morral,postal_code,None,OH,40.6902602,-83.2398943,OK,43337
43338,Mount Gilead,postal_code,Morrow County,OH,40.5497252,-82.7562895,OK,43338
43340,Mount Victory,postal_code,None,OH,40.5527098,-83.4856913,OK,43340
43341,NEW BLOOMNGTN,postal_code,Marion County,OH,40.5714482,-83.2827093,OK,43341
43342,Prospect,postal_code,None,OH,40.4638831,-83.1756188,OK,43342
43343,Quincy,postal_code,None,OH,40.3057102,-83.985008,OK,43343
43344,Richwood,postal_code,None,OH,40.4237793,-83.357567,OK,43344
43345,Ridgeway,postal_code,None,OH,40.5288755,-83.6029116,OK,43345
43346,Roundhead,postal_code,Hardin County,OH,40.5621293,-83.8386209,OK,43346
